Station          IGS20 (mm/year)         CHN20 (mm/year)         CHN20 (mm/year)  
           Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U    
NMAZ        32.0    -7.4     0.4      0.3     0.5     0.1      0.3     0.5     0.1 
NMEJ        31.2    -5.3    -0.1     -0.5     1.4    -0.3     -0.5     1.4    -0.3 
NXZW        32.6    -6.2     0.2      0.7     1.6    -0.1      0.7     1.6    -0.1 
DLZD        29.8    -6.7     0.1     -1.4     0.9    -0.3     -1.4     0.9    -0.3 
CHBN        27.0   -10.4     0.8     -2.2    -0.2     0.2     -2.2    -0.2     0.2 
KBDO        29.4    -0.2     0.2     -2.1     3.9    -0.1     -2.1     3.9    -0.1 
BADG        26.7    -6.8     1.0     -3.2     0.2     0.5     -3.2     0.2     0.5 
KIZ1        26.4    -3.2     1.1     -4.2     1.7     0.7     -4.2     1.7     0.7 
S01R        31.3   -12.3     0.2     -0.1    -1.2    -0.1     -0.1    -1.2    -0.1 
DANG        30.5   -12.1     1.2      0.6     0.5     0.6      0.6     0.5     0.6 
JLYJ        29.4   -13.8    -0.2      1.4    -0.6    -0.9      1.4    -0.6    -0.9 
LNDD        28.8   -11.6     0.2     -0.5     0.7    -0.4     -0.5     0.7    -0.4 
XJTC        28.3     1.3     0.9     -3.7     2.8     0.7     -3.7     2.8     0.7 
KBDO        29.4    -0.2     0.2     -2.1     3.9    -0.1     -2.1     3.9    -0.1 
DLZD        29.8    -6.7     0.1     -1.4     0.9    -0.3     -1.4     0.9    -0.3 
CHBN        27.0   -10.4     0.8     -2.2    -0.2     0.2     -2.2    -0.2     0.2 
HISY        30.9    -8.5     0.8     -0.9     0.3     0.9     -0.9     0.3     0.9 
HIHK        31.9   -10.1     0.3      0.0    -1.1     0.3      0.0    -1.1     0.3 
SUMK        27.7     2.4    -0.0     -4.7     1.1    -0.0     -4.7     1.1    -0.0 
XJWQ        29.2     3.5     0.8     -3.1     4.4     0.7     -3.1     4.4     0.7 
PODG        30.0     4.9     0.4     -2.6     5.3     0.4     -2.6     5.3     0.4 
SELE        28.4     3.9    -0.0     -4.1     3.5     0.0     -4.1     3.5     0.0 
CHUM        27.5     2.7     0.1     -5.0     1.7     0.2     -5.0     1.7     0.2 
TALA        27.6     3.8     0.8     -5.0     2.0     0.9     -5.0     2.0     0.9 
IRKJ        25.2    -6.8    -0.1     -4.4     0.8    -0.6     -4.4     0.8    -0.6 
KYIN        31.3   -10.0     1.0      0.1     1.5     0.7      0.1     1.5     0.7 
PAO2        30.5   -10.4     1.8     -0.7     1.2    -0.1     -0.7     1.2    -0.1 
TSIO        29.7   -10.9     0.6     -1.6     0.5     0.3     -1.6     0.5     0.3 
TEGS        29.6   -11.4     0.1     -1.7     0.0    -0.2     -1.7     0.0    -0.2 
LALX        30.5    -9.1     0.5     -1.5    -1.4     0.6     -1.5    -1.4     0.6 
LALB        31.7    -7.9    -1.4     -0.6    -0.9    -1.2     -0.6    -0.9    -1.2 
JNAV        32.8    -6.6    -1.6      0.6    -2.3    -1.5      0.6    -2.3    -1.5 
CMUM        30.6    -8.0    -1.6     -1.7    -1.9    -1.3     -1.7    -1.9    -1.3 
YNJP        33.7    -9.2    -0.4      1.3    -2.0    -0.3      1.3    -2.0    -0.3 
DANA        30.2    -9.0    -0.1     -1.5    -0.5     0.1     -1.5    -0.5     0.1 
KRTV        26.9     0.7     0.3     -4.5     0.9     0.1     -4.5     0.9     0.1 
TASH        26.8     4.8     0.3     -5.8     2.2     0.4     -5.8     2.2     0.4 
-------------------------------------------------------------------------------------
Average      30.7    -8.9     0.4     -0.3    -0.1     0.1     -0.3    -0.1     0.1 
RMS          30.8     9.9     0.8      1.9     1.7     0.6      1.9     1.7     0.6 
H-RMS        32.4      -       -       2.5      -       -       2.5      -       -  
3D-RMS       32.4      -       -       2.6      -       -       2.6      -       -  
